                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.76332,                 1.3323,                  1.297,                 0.9116,                0.39104,                0.43085,                0.30468,                 1.7392,                 2.3903,                 1.5221,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.60667,                0.88728,                 1.1349,                 0.9116,                0.39104,                0.43085,                0.30468,                 1.7392,                 2.3903,                 1.5221,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.84161,                0.82377,                 1.1768,                0.90935,                0.39099,                 0.4305,                0.30357,                 1.7293,                 2.4118,                 1.5162,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 0.4939,                0.47741,                0.95457,                0.90935,                0.39099,                 0.4305,                0.30357,                 1.7293,                 2.4118,                 1.5162,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.78823,                0.76008,                 1.1439,                0.90935,                0.39099,                 0.4305,                0.30357,                 1.7293,                 2.4118,                 1.5162,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                0.86955,                 1.7202,                 1.3213,                0.91049,                0.39149,                  0.429,                0.30331,                 1.7432,                 2.4104,                 1.5144,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 0.6146,                0.95945,                 1.1724,                0.91049,                0.39149,                  0.429,                0.30331,                 1.7432,                 2.4104,                 1.5144,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.71235,                0.97186,                 1.2051,                0.91049,                0.39149,                  0.429,                0.30331,                 1.7432,                 2.4104,                 1.5144,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.58133,                0.65205,                 1.0676,                0.91049,                0.39149,                  0.429,                0.30331,                 1.7432,                 2.4104,                 1.5144,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.64767,                 1.0347,                 1.0821,                0.91239,                0.39345,                0.43203,                0.30542,                 1.7889,                 2.4706,                 1.5632,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.73612,                0.65943,                 1.1781,                0.91239,                0.39345,                0.43203,                0.30542,                 1.7889,                 2.4706,                 1.5632,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.85879,                0.77311,                   1.12,                0.91239,                0.39345,                0.43203,                0.30542,                 1.7889,                 2.4706,                 1.5632,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.60065,                0.67573,                 1.0901,                0.91239,                0.39345,                0.43203,                0.30542,                 1.7889,                 2.4706,                 1.5632,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.48309,                0.61397,                0.90738,                0.91128,                0.39631,                0.43204,                0.30385,                 1.7867,                 2.4093,                 1.5411,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.44765,                 0.5157,                0.94879,                0.91128,                0.39631,                0.43204,                0.30385,                 1.7867,                 2.4093,                 1.5411,             9.7656e-06,             9.7656e-06,             9.7656e-06
